destination,baseline_stage,baseline_percentile,adjusted_probability,bootstrap_lower,bootstrap_upper,eligible_contestants,events,bootstrap_replicates
IMO,EMIC,0.7579591836734694,0.07217425221085583,0.03638582420521288,0.11431369470603987,1433,118,80
IMO,EMIC,0.7718367346938775,0.07739383437935589,0.040453328622625136,0.12149223562690373,1433,118,80
IMO,EMIC,0.7857142857142856,0.08327466412907944,0.0452218457071537,0.1292002700823342,1433,118,80
IMO,EMIC,0.7995918367346938,0.08989446739413604,0.05032184885491763,0.1374729616088666,1433,118,80
IMO,EMIC,0.813469387755102,0.09734036960767294,0.05530110632870415,0.14634662691978584,1433,118,80
IMO,EMIC,0.8273469387755101,0.10570968079466032,0.061096167046823975,0.15585846211231658,1433,118,80
IMO,EMIC,0.8412244897959182,0.11511063488872136,0.06865831075874654,0.1660461826258638,1433,118,80
IMO,EMIC,0.8551020408163263,0.12566301108349215,0.07906622010424544,0.17694756386636065,1433,118,80
IMO,EMIC,0.8689795918367347,0.13749852509641594,0.09139681920242684,0.19714827288803094,1433,118,80
IMO,EMIC,0.8828571428571428,0.15076082312129707,0.10599627677378962,0.2234081574000443,1433,118,80
IMO,EMIC,0.8967346938775509,0.16560483986261743,0.12325925930009347,0.25324330402755335,1433,118,80
IMO,EMIC,0.910612244897959,0.18219519671937223,0.14192968997590136,0.2764435473496252,1433,118,80
IMO,EMIC,0.9244897959183673,0.2007032252345085,0.15626664326996126,0.2992205891121181,1433,118,80
IMO,EMIC,0.9383673469387754,0.22130212154114956,0.17224233941737405,0.330159395548929,1433,118,80
IMO,EMIC,0.9522448979591835,0.2441596983629286,0.19007372805476105,0.37107059725864205,1433,118,80
IMO,EMIC,0.9661224489795917,0.26942824317834607,0.21360217136291068,0.4233440750592126,1433,118,80
IMO,EMIC,0.98,0.29723116506017566,0.24418706639738813,0.4763877380882389,1433,118,80
IMO,IWYMIC,0.3,0.055201021184824686,0.0242026180620172,0.09613282290119224,1053,156,80
IMO,IWYMIC,0.31387755102040815,0.055173401774764916,0.025021098705456237,0.09244480166527919,1053,156,80
IMO,IWYMIC,0.3277551020408163,0.05528123016927208,0.0259064478585126,0.08920407068276881,1053,156,80
IMO,IWYMIC,0.3416326530612245,0.0555252047570024,0.02686344120835823,0.08637841811768027,1053,156,80
IMO,IWYMIC,0.35551020408163264,0.05590690664549219,0.027898600252654646,0.08393976386849082,1053,156,80
IMO,IWYMIC,0.3693877551020408,0.056428811998921254,0.029634015850734215,0.0818639010493656,1053,156,80
IMO,IWYMIC,0.38326530612244897,0.0570943112481212,0.03149316328358876,0.08013025966261188,1053,156,80
IMO,IWYMIC,0.39714285714285713,0.05790773516979704,0.033436572150537844,0.07870851008432074,1053,156,80
IMO,IWYMIC,0.4110204081632653,0.05887438781915925,0.03427242555068246,0.0775212922421629,1053,156,80
IMO,IWYMIC,0.42489795918367346,0.060000586276394444,0.03564777579936342,0.07497598443657229,1053,156,80
IMO,IWYMIC,0.43877551020408156,0.06129370712929496,0.036559778598014035,0.0746038140282354,1053,156,80
IMO,IWYMIC,0.4526530612244898,0.0627622395583062,0.03777098503343229,0.07663490029685652,1053,156,80
IMO,IWYMIC,0.4665306122448979,0.06441584481235392,0.038937111804363905,0.07967393270622983,1053,156,80
IMO,IWYMIC,0.4804081632653061,0.06626542175995236,0.040081994879053395,0.08268219412399049,1053,156,80
IMO,IWYMIC,0.4942857142857142,0.06832317806597417,0.04151600350882165,0.0862256915689562,1053,156,80
IMO,IWYMIC,0.5081632653061224,0.07060270637574304,0.04299406115633332,0.08998483861278854,1053,156,80
IMO,IWYMIC,0.5220408163265305,0.07311906468060185,0.044646746274545325,0.09488662499608509,1053,156,80
IMO,IWYMIC,0.5359183673469388,0.07588885978902972,0.04649930260835392,0.10090209609752863,1053,156,80
IMO,IWYMIC,0.5497959183673469,0.07893033253167712,0.04856920340969931,0.10686502027427426,1053,156,80
IMO,IWYMIC,0.563673469387755,0.08226344298542788,0.050876124246479755,0.11232863809653836,1053,156,80
IMO,IWYMIC,0.5775510204081632,0.08590995361036255,0.053056878193683495,0.11811809420568423,1053,156,80
IMO,IWYMIC,0.5914285714285714,0.08989350775579477,0.05574242936376974,0.12425017109661249,1053,156,80
IMO,IWYMIC,0.6053061224489795,0.09423970051107967,0.05903727523466231,0.13144950201435732,1053,156,80
IMO,IWYMIC,0.6191836734693876,0.09897613835964673,0.06274033556971793,0.1391852316414182,1053,156,80
IMO,IWYMIC,0.6330612244897958,0.10413248354872978,0.06660425811971168,0.14739439179151054,1053,156,80
IMO,IWYMIC,0.6469387755102041,0.10974047852191673,0.07044075835649934,0.15609979983265657,1053,156,80
IMO,IWYMIC,0.6608163265306122,0.1158339451862876,0.07478294139295599,0.16532425385546554,1053,156,80
IMO,IWYMIC,0.6746938775510203,0.12244875320791117,0.07888985759643334,0.17509031617057927,1053,156,80
IMO,IWYMIC,0.6885714285714285,0.12962275095159898,0.08364295867682577,0.1854200601333148,1053,156,80
IMO,IWYMIC,0.7024489795918367,0.13739565209832527,0.09005557771919245,0.19633477730845825,1053,156,80
IMO,IWYMIC,0.7163265306122448,0.14580887037175713,0.09784968910637118,0.207854642439234,1053,156,80
IMO,IWYMIC,0.7302040816326529,0.15490529415767806,0.1055184254349813,0.21898417135147674,1053,156,80
IMO,IWYMIC,0.7440816326530612,0.16472899207076336,0.11299965456712002,0.22991031734982487,1053,156,80
IMO,IWYMIC,0.7579591836734694,0.17532483967288873,0.12119813710687137,0.2415854035872241,1053,156,80
IMO,IWYMIC,0.7718367346938775,0.18673805654669076,0.1314089804672096,0.2571037926892454,1053,156,80
IMO,IWYMIC,0.7857142857142856,0.19901364178052022,0.14375861501370774,0.2733670641069354,1053,156,80
IMO,IWYMIC,0.7995918367346938,0.21219569469359217,0.1577998369338224,0.2903661679235846,1053,156,80
IMO,IWYMIC,0.813469387755102,0.2263266064953372,0.17080226134114798,0.30718866281995777,1053,156,80
IMO,IWYMIC,0.8273469387755101,0.24144610785286505,0.184838554598026,0.3256489894643488,1053,156,80
IMO,IWYMIC,0.8412244897959182,0.25759015754763964,0.20012071305441365,0.3457186666126914,1053,156,80
IMO,IWYMIC,0.8551020408163263,0.2747896592623138,0.21672743094967212,0.36567982565704726,1053,156,80
IMO,IWYMIC,0.8689795918367347,0.29306899797543245,0.23473233745102387,0.38612473518770624,1053,156,80
IMO,IWYMIC,0.8828571428571428,0.3124443955078714,0.2542005338216814,0.4071410923589883,1053,156,80
IMO,IWYMIC,0.8967346938775509,0.33292209749609536,0.2751844905155068,0.43455119230439554,1053,156,80
IMO,IWYMIC,0.910612244897959,0.3544964222543022,0.297719386390238,0.4635501973166564,1053,156,80
IMO,IWYMIC,0.9244897959183673,0.3771477258742157,0.32012851820193294,0.49741689526806865,1053,156,80
