destination,country_clean,outcome,eligible_contestants,events,event_rate,wilson_lower,wilson_upper
IMO,Cyprus,medal,26,7,0.2692307692307692,0.13704275525067386,0.46083403419761304
IMO,Ghana,award,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121
IMO,Ghana,medal,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121
IMO,Hong Kong,award,114,12,0.10526315789473684,0.06124627210871392,0.1750166435339793
IMO,Hong Kong,medal,114,10,0.08771929824561403,0.04834458359214472,0.1539744616346682
IMO,India,award,26,0,0.0,0.0,0.12873304380462175
IMO,India,medal,26,0,0.0,0.0,0.12873304380462175
IMO,Indonesia,award,166,11,0.06626506024096386,0.037400567775504975,0.11475061308948921
IMO,Indonesia,medal,166,10,0.060240963855421686,0.0330470800231019,0.10732842279835055
IMO,Islamic Republic of Iran,award,138,15,0.10869565217391304,0.06698480317598648,0.17160246600315418
IMO,Islamic Republic of Iran,medal,138,14,0.10144927536231885,0.06139672581345134,0.1630903076097475
IMO,Japan,award,12,5,0.4166666666666667,0.19325746190524656,0.6804926643446272
IMO,Japan,medal,12,5,0.4166666666666667,0.19325746190524656,0.6804926643446272
IMO,Kazakhstan,award,57,4,0.07017543859649122,0.02762597299465902,0.1670040170121784
IMO,Kazakhstan,medal,57,3,0.05263157894736842,0.01805996809628102,0.14369777660471303
IMO,Kyrgyzstan,award,0,0,,,
IMO,Kyrgyzstan,medal,0,0,,,
IMO,Lebanon,award,3,0,0.0,0.0,0.5615060804490177
IMO,Lebanon,medal,3,0,0.0,0.0,0.5615060804490177
IMO,Macau,award,101,22,0.21782178217821782,0.1484757444077501,0.30784693666541163
IMO,Macau,medal,101,8,0.07920792079207921,0.04068048623667317,0.14857263466190143
IMO,Malaysia,award,61,8,0.13114754098360656,0.06797996145868099,0.23802112426406494
IMO,Malaysia,medal,61,6,0.09836065573770492,0.045863951367309724,0.1984483419752358
IMO,Mexico,award,59,19,0.3220338983050847,0.21687410829652445,0.44895235060967775
IMO,Mexico,medal,59,17,0.288135593220339,0.1883634728582083,0.4138108829825087
IMO,Mongolia,award,40,11,0.275,0.1610785343314309,0.4283525083312457
IMO,Mongolia,medal,40,10,0.25,0.14186967895549518,0.40194259066970106
IMO,Nepal,award,10,0,0.0,0.0,0.2775401687666166
IMO,Nepal,medal,10,0,0.0,0.0,0.2775401687666166
IMO,Netherlands,award,6,0,0.0,0.0,0.3903430336530645
IMO,Netherlands,medal,6,0,0.0,0.0,0.3903430336530645
IMO,People's Republic of China,award,208,1,0.004807692307692308,0.0008491586222405118,0.026726161805852935
IMO,People's Republic of China,medal,208,1,0.004807692307692308,0.0008491586222405118,0.026726161805852935
IMO,Peru,award,0,0,,,
IMO,Peru,medal,0,0,,,
IMO,Philippines,award,177,17,0.096045197740113,0.06083189385041121,0.1484208444575887
IMO,Philippines,medal,177,12,0.06779661016949153,0.039204174692770155,0.11475155230809689
IMO,Republic of Korea,award,89,0,0.0,0.0,0.04137800296418846
IMO,Republic of Korea,medal,89,0,0.0,0.0,0.04137800296418846
IMO,Romania,award,59,0,0.0,0.0,0.061131479784092065
IMO,Romania,medal,59,0,0.0,0.0,0.061131479784092065
IMO,Russian Federation,award,30,3,0.1,0.03459925995971615,0.25621441315266624
IMO,Russian Federation,medal,30,3,0.1,0.03459925995971615,0.25621441315266624
IMO,Singapore,award,34,13,0.38235294117647056,0.23899964851608782,0.5495928000061734
IMO,Singapore,medal,34,11,0.3235294117647059,0.19131451326458573,0.4915741595188061
IMO,South Africa,award,58,8,0.13793103448275862,0.07158401626482185,0.24926149872832187
IMO,South Africa,medal,58,6,0.10344827586206896,0.04828075015859154,0.20788338531008968
IMO,Sri Lanka,award,51,20,0.39215686274509803,0.27027144858027696,0.5291508877483494
IMO,Sri Lanka,medal,51,8,0.1568627450980392,0.08169125888021325,0.2801070839835982
IMO,Taiwan,award,209,15,0.07177033492822966,0.04397261173630447,0.11502638094181862
IMO,Taiwan,medal,209,15,0.07177033492822966,0.04397261173630447,0.11502638094181862
IMO,Tajikistan,award,44,17,0.38636363636363635,0.25720998886701985,0.5337669015379832
IMO,Tajikistan,medal,44,9,0.20454545454545456,0.11153127823467596,0.34500863681833227
IMO,Thailand,award,215,27,0.12558139534883722,0.08775984276882692,0.17654822297370099
IMO,Thailand,medal,215,26,0.12093023255813953,0.08387635499553894,0.17129268050776572
IMO,Trinidad and Tobago,award,0,0,,,
IMO,Trinidad and Tobago,medal,0,0,,,
IMO,Tunisia,award,2,0,0.0,0.0,0.6576280471103807
IMO,Tunisia,medal,2,0,0.0,0.0,0.6576280471103807
IMO,Uganda,award,1,0,0.0,0.0,0.7934567085261071
IMO,Uganda,medal,1,0,0.0,0.0,0.7934567085261071
IMO,Ukraine,award,5,0,0.0,0.0,0.43449149475208104
IMO,Ukraine,medal,5,0,0.0,0.0,0.43449149475208104
IMO,United Arab Emirates,award,4,0,0.0,0.0,0.48990002040399916
IMO,United Arab Emirates,medal,4,0,0.0,0.0,0.48990002040399916
IMO,United States of America,award,20,0,0.0,0.0,0.16113012549493322
IMO,United States of America,medal,20,0,0.0,0.0,0.16113012549493322
IMO,Uzbekistan,award,33,16,0.48484848484848486,0.32503781646924224,0.6478189541378976
IMO,Uzbekistan,medal,33,6,0.18181818181818182,0.08610651225698263,0.3438856704929522
IMO,Vietnam,award,118,6,0.05084745762711865,0.023509310875761358,0.1065086796956034
IMO,Vietnam,medal,118,6,0.05084745762711865,0.023509310875761358,0.1065086796956034
