combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
2921,Doniyor Ismoilov,"Ismoilov, Doniyor",Uzbekistan,IMO,2021,Doniyor Ismoilov,"Ismoilov, Doniyor",Uzbekistan,UZB,30927,8,Honourable Mention,348,371,359.5,0.4192245557,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2923,Shakhboz Khasanov,"Khasanov, Shakhboz",Uzbekistan,IMO,2020,Shakhboz Khasanov,"Khasanov, Shakhboz",Uzbekistan,UZB,30426,11,Honourable Mention,371,383,377,0.387987013,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2924,Jaloliddin Kholmatov,"Kholmatov, Jaloliddin",Uzbekistan,IMO,2022,Jaloliddin Kholmatov,"Kholmatov, Jaloliddin",Uzbekistan,UZB,31549,16,Honourable Mention,377,393,385,0.3463497453,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2929,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",Uzbekistan,IMO,2020,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",Uzbekistan,UZB,30429,7,Honourable Mention,445,494,469.5,0.2378246753,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2932,Behzod Maksudov,"Maksudov, Behzod",Uzbekistan,IMO,2023,Behzod Maksudov,"Maksudov, Behzod",Uzbekistan,UZB,33399,17,Honourable Mention,315,348,331.5,0.463592233,618,same_country_exact,https://www.imo-official.org/results/individual/year/2023/
2933,Azizbek Mamajonov,"Mamajonov, Azizbek",Uzbekistan,IMO,2026,Azizbek Mamajonov,"Mamajonov, Azizbek",Uzbekistan,UZB,36351,17,Bronze,283,313,298,0.5525525526,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2936,Eldor Neymatov,"Neymatov, Eldor",Uzbekistan,IMO,2020,Eldor Neymatov,"Neymatov, Eldor",Uzbekistan,UZB,30428,13,Honourable Mention,345,357,351,0.4301948052,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2938,Jakhongir Norboev,"Norboev, Jakhongir",Uzbekistan,IMO,2020,Jakhongir Norboev,"Norboev, Jakhongir",Uzbekistan,UZB,30425,11,Honourable Mention,371,383,377,0.387987013,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2939,Olimjon Olimov,"Olimov, Olimjon",Uzbekistan,IMO,2021,Olimjon Olimov,"Olimov, Olimjon",Uzbekistan,UZB,30928,13,Bronze,268,289,278.5,0.5500807754,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2940,Davrbek Oltiboev,"Oltiboev, Davrbek",Uzbekistan,IMO,2017,Davrbek Oltiboev,"Oltiboev, Davrbek",Uzbekistan,UZB,27353,13,Honourable Mention,390,415,402.5,0.3455284553,615,same_country_exact,https://www.imo-official.org/results/individual/year/2017/
2940,Davrbek Oltiboev,"Oltiboev, Davrbek",Uzbekistan,IMO,2018,Davrbek Oltiboev,"Oltiboev, Davrbek",Uzbekistan,UZB,27353,10,Honourable Mention,368,390,379,0.361952862,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
