year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2015,Bronze,35,76,110,93,0.6980519481,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Malaysia;Malaysia;Mongolia;Mongolia;Philippines;Philippines;Philippines;Sri Lanka;Sri Lanka;Sri Lanka;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam
2015,Merit,31,111,141,126,0.5909090909,Bulgaria,Uzbekistan,Bulgaria;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Malaysia;Malaysia;Mongolia;Philippines;Romania;Romania;Romania;South Africa;Sri Lanka;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Uzbekistan
2015,Merit,40,142,181,161.5,0.4756493506,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Cyprus;Cyprus;Hong Kong;Hong Kong;Hong Kong;India;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Republic of Korea;Malaysia;Malaysia;Philippines;Philippines;Romania;Sri Lanka;Sri Lanka;Thailand;Thailand;Vietnam;Vietnam
2015,Merit,33,182,214,198,0.3571428571,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Nepal;Romania;Romania;South Africa;South Africa;South Africa;Taiwan;Uzbekistan;Vietnam;Vietnam
2016,Gold,2,1,2,1.5,0.9942748092,People's Republic of China,Thailand,People's Republic of China;Thailand
2016,Gold,5,3,7,5,0.9809160305,Bulgaria,Vietnam,Bulgaria;Bulgaria;Mongolia;Thailand;Vietnam
2016,Gold,6,8,13,10.5,0.9599236641,Bulgaria,Thailand,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;Hong Kong;Thailand
2016,Silver,14,14,27,20.5,0.9217557252,People's Republic of China,Vietnam,People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Philippines;Sri Lanka;Taiwan;Thailand;Thailand;Thailand;Vietnam
2016,Silver,20,28,47,37.5,0.856870229,Bulgaria,Vietnam,Bulgaria;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Indonesia;Islamic Republic of Iran;Mongolia;Philippines;Philippines;Philippines;Taiwan;Taiwan;Thailand;Thailand;Thailand;Thailand;Vietnam
2016,Bronze,17,48,64,56,0.786259542,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Kazakhstan;Malaysia;Mongolia;Mongolia;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Vietnam;Vietnam
